Surname,Predicted,Confidence
KAILU,meru,0.4455
KAROKI,kikuyu,0.6338
KAWIRA,meru,0.6923
KINYA,meru,0.3818
KIYUKA,kisii,0.4612
MUTHONI,kikuyu,0.5222
MWANZIA,kamba,0.6547
WANJIKU,kikuyu,0.9054
WANJIRU,kikuyu,0.9962
BAHATI,luhya,0.4743
KATUNGE,kamba,0.6733
OGADA,luo,0.8489
ONYANCHA,kisii,0.9534
MADEDA,taita,0.6452
CHEBICHI,kalenjin,0.7274
GITONGA,kikuyu,0.5562
MACHEKA,luhya,0.6386
BOSIRE,kisii,0.7042
KANGAI,kikuyu,0.4375
MNDUNGI,taita,0.449
MASILA,kamba,0.7926
GACHARA,kikuyu,0.942
GICHURU,kikuyu,0.932
KAMAU,kikuyu,0.9947
MAINA,kikuyu,0.9105
MULWA,kamba,0.4741
MUNYOKI,kamba,0.352
MUREKE,meru,0.3858
ODHIAMBO,luo,0.9913
OLUM,luo,0.6638
OSOGO,luo,0.5759
WAIHUBU,kikuyu,0.7708
WAKA,luhya,0.6306
WANJOHI,kikuyu,0.9342
WAMBUA,kamba,0.8473
MUTHONI,kikuyu,0.5222
NDEGWA,kikuyu,0.8362
GITHUI,kikuyu,0.9748
LOKISHON,masai,0.4183
MBUTHIA,kikuyu,0.8158
MUGOSI,luhya,0.4588
MUNGA,kikuyu,0.4123
MWAGI,kikuyu,0.6009
MWANGI,kikuyu,0.9417
NAMBIA,luhya,0.8609
NDIRANGU,kikuyu,0.849
OMONDI,luo,0.7726
SIELE,kalenjin,0.7822
SILA,luhya,0.3755
WARUINGI,kikuyu,0.9764
MOKI,kamba,0.4884
MUTHAMI,kamba,0.5842
KANGWE,kamba,0.4833
AMBIYO,luhya,0.8491
CHEPYEGON,kalenjin,0.9823
KIMETO,kalenjin,0.573
KIRUI,kalenjin,0.9344
NJERI,kikuyu,0.9908
CHELANGAT,kalenjin,0.9886
MURERWA,kikuyu,0.372
MWANGI,kikuyu,0.9417
MWENDWA,kamba,0.7456
MWENDA,meru,0.4143
NDEGE,kikuyu,0.3049
WERE,luhya,0.5361
KENGA,mijikenda,0.4925
CHEGE,kikuyu,0.8334
KARAMBU,meru,0.4422
MBUVI,kamba,0.8314
KATITU,kamba,0.5101
KAUMBUTHU,kikuyu,0.49
KENDA,kalenjin,0.3966
MIANO,kikuyu,0.4684
MBINDYO,kamba,0.9132
NJOROGE,kikuyu,0.9732
MIKE,meru,0.4097
MWASYIA,kamba,0.6776
MBUTHIA,kikuyu,0.8158
KINYWA,embu,0.5281
CHEPCHIENG,kalenjin,0.9328
KOSKEI,kalenjin,0.9559
KIEMA,kamba,0.6801
AWUOR,luo,0.9754
AWUOR,luo,0.9754
WAMBOI,kikuyu,0.9448
KARIMI,embu,0.4286
LENAH,maasai,0.6702
KAMAMA,kikuyu,0.3882
GAKIRIA,kikuyu,0.7659
OYARO,luo,0.5233
CHERUYOT,kalenjin,1
MWIKALI,kamba,0.8131
KOMEN,kalenjin,0.9002
KALUKI,kamba,0.8725
NKROTE,meru,0.797
MAKONGO,taita,0.5532
LEKALAILE,rendille,0.3744
NGANGA,kikuyu,0.893
NJERI,kikuyu,0.9908
WAITHIRA,kikuyu,0.8802
ILESUKUD,rendille,0.3886
ADHIAMBO,luo,0.8693
MUTHONI,kikuyu,0.5222
NYAMBURA,kikuyu,0.8657
OMBURI,kisii,0.4722
NJUGUNA,kikuyu,0.9934
MWACHAKA,taita,0.8852
KANINI,kamba,0.7461
MUTHONI,kikuyu,0.5222
NJERI,kikuyu,0.9908
OMAR,mijikenda,0.3673
SAIDI,muslim,0.4665
GAMBO,mijikenda,0.4186
ATIENO,luo,0.8951
TERESIA,kamba,0.3904
MATIMO,kamba,0.5349
MUTISO,kamba,0.9345
KANYI,samburu,0.3274
WANJERA,kikuyu,0.429
ADHIBO,luo,0.8339
ADOYO,luo,0.8689
KAIRUTHI,kikuyu,0.558
KERUBO,kisii,0.9359
MAWIYA,kamba,0.6075
MUTHONI,kikuyu,0.5222
NGENDO,kikuyu,0.7894
NYAKARUO,kikuyu,0.4681
WANJUGU,kikuyu,0.9097
WANZA,kamba,0.6661
NGUMA,luo,0.3723
CHEPKIRIR,kalenjin,0.9402
MUMBI,kikuyu,0.2482
MURUGI,kikuyu,0.5175
MUTHONI,kikuyu,0.5222
NGULE,kikuyu,0.4368
KAHIA,kikuyu,0.8695
MASILA,kamba,0.7926
ANDAE,luhya,0.8423
NYWAA,mijikenda,0.5333
MUTHONI,kikuyu,0.5222
KUSEMA,mijikenda,0.3626
SHELAMIN,kamba,0.3767
UPEPO,kikuyu,0.4646
MUNENE,kikuyu,0.4986
KEMBOI,kalenjin,0.5727
MULI,kamba,0.673
MWANGI,kikuyu,0.9417
OKEMWA,kisii,0.7134
WEKESA,luhya,0.8839
OMAR,mijikenda,0.3673
KYALA,kamba,0.751
NDAMBUI,kamba,0.5864
MUANGE,kamba,0.5788
RONYA,mijikenda,0.3913
HAMISI,mijikenda,0.4114
WAFULA,luhya,0.9824
MAMA,kikuyu,0.2545
NJERI,kikuyu,0.9908
NKROTE,meru,0.797
WAMBUI,kikuyu,0.9901
CHOKO,luhya,0.4481
KYALO,kamba,0.9272
MURIMA,mijikenda,0.3625
NGARIKORTO,kikuyu,0.5603
KIRIINYA,meru,0.6737
NJIRU,kikuyu,0.4613
KAMAU,kikuyu,0.9947
MUREWE,mijikenda,0.5537
DUNCAN,mijikenda,0.5145
MWABILA,mijikenda,0.5156
JUMA,mijikenda,0.244
MARAHAMA,mijikenda,0.4882
AIDEED,somali,0.4344
MUTIA,kamba,0.8813
MWILU,kamba,0.7388
MWANGIRI,mijikenda,0.4422
KATANA,mijikenda,0.3925
KINGORI,kikuyu,0.8824
KINOTI,meru,0.4995
MUCHIRI,kikuyu,0.8274
NJERU,kikuyu,0.5997
KARAJA,kikuyu,0.7843
GITHII,kikuyu,0.9618
MULAA,kamba,0.5287
NJOROGE,kikuyu,0.9732
ONYANGO,luo,0.7155
KATHURE,meru,0.7703
MUTHONI,kikuyu,0.5222
CHELANGAT,kalenjin,0.9886
MWENDE,kamba,0.8342
GITAU,kikuyu,0.9743
JACKSON,mijikenda,0.4309
JUMA,mijikenda,0.244
KIMATHI,meru,0.4953
MAINA,kikuyu,0.9105
MAINA,kikuyu,0.9105
MASITA,kisii,0.4041
MUSYOKA,kamba,0.9096
MUTUNGA,kamba,0.7131
MWANGI,kikuyu,0.9417
NAMIRANDA,luhya,0.862
NDIRANGU,kikuyu,0.849
CHEPKWONY,kalenjin,0.9989
CHIPONGONI,kalenjin,0.5475
MUMBU,kamba,0.4
GATONI,kikuyu,0.8246
ATIENO,luo,0.8951
KIBOBORI,meru,0.3629
WANJIRU,kikuyu,0.9962
KATHAMBI,meru,0.4426
NGUGI,kikuyu,0.7447
WANGUI,kikuyu,0.833
ALI,luhya,0.2868
KALULU,kamba,0.4663
MWENI,kamba,0.7002
NGONYO,kamba,0.4478
BANDA,mijikenda,0.6018
ATIENO,luo,0.8951
MWAKANDAWA,taita,0.7838
MULEI,kamba,0.6537
MUMBUA,kamba,0.6918
WAKESHO,taita,0.5027
KEREU,kisii,0.4774
MUGAMBI,meru,0.3392
TEGAT,kalenjin,0.7667
WACHIRA,kikuyu,0.7998
NDWIGA,mbeere,0.3561
KABUKO,meru,0.3331
KAGWIRIA,kikuyu,0.4846
MAGONGO,mijikenda,0.5502
MWANIA,kamba,0.4073
NGUMBI,kamba,0.3493
MWINGI,mbeere,0.4355
IKAYO,luo,0.441
RUTO,kalenjin,0.7699
GACHIHI,kikuyu,0.56
NJERI,kikuyu,0.9908
WANJIKU,kikuyu,0.9054
MASHA,mijikenda,0.3262
JUMA,mijikenda,0.244
MWINYI,kamba,0.4528
ABDI,borana,0.2945
KAMAU,kikuyu,0.9947
NYAKUNDI,kisii,0.967
KAHINDI,mijikenda,0.4698
KAIGONGI,meru,0.4192
MARUGI,kikuyu,0.6242
MURIITHI,kikuyu,0.7066
OPATI,luo,0.7325
WELUNGA,mijikenda,0.4851
SAFARI,swahili,0.4998
KENGA,mijikenda,0.4925
OMAR,mijikenda,0.3673
MURABU,mijikenda,0.4828
ATIENO,luo,0.8951
BIWOTT,kalenjin,0.788
WAWERU,kikuyu,0.9694
AYONGA,luhya,0.3951
WANJOHI,kikuyu,0.9342
KAMAU,kikuyu,0.9947
MWANGI,kikuyu,0.9417
ABDALLA,muslim,0.3811
MUNGAI,kikuyu,0.5779
ONSOMU,kisii,0.4315
MBUTHIA,kikuyu,0.8158
MUTHOMI,kikuyu,0.4372
MWANGI,kikuyu,0.9417
KOKA,kamba,0.3823
KARANJA,kikuyu,0.7869
MUTIA,kamba,0.8813
WAINAINA,kikuyu,0.9573
MAHERO,luhya,0.576
WAMBOI,kikuyu,0.9448
WANJIRU,kikuyu,0.9962
ABDALA,bajuni,0.3778
WANGUI,kikuyu,0.833
MUTINDI,kamba,0.9003
NYAMBURA,kikuyu,0.8657
WANJIRU,kikuyu,0.9962
MWENJA,luhya,0.4166
ABUDH,luo,0.3789
ALI,luhya,0.2868
MAERA,kisii,0.4355
KANENE,luhya,0.42
NYAWIRA,kisii,0.4317
WANGUI,kikuyu,0.833
WAYUA,kamba,0.6845
MACHOKA,kisii,0.574
MALII,kamba,0.4881
KAVENGI,kamba,0.551
ANAYO,kisii,0.5057
OTUGI,kisii,0.4789
MUTWIRI,meru,0.4701
ODOYO,luo,0.9571
IRUNGU,kikuyu,0.8687
IRUNGU,kikuyu,0.8687
ORAGE,luo,0.8342
GACHIRA,kikuyu,0.9582
MWANIKI,kikuyu,0.4302
MAINA,kikuyu,0.9105
MWANGI,kikuyu,0.9417
SITIENEI,kalenjin,0.8876
KATHURE,meru,0.7703
SYOKAO,kamba,0.8393
MWAJUMA,mijikenda,0.7779
KOECH,kalenjin,0.8669
MUTHANU,kamba,0.6061
NJUGUNA,kikuyu,0.9934
KAHINGU,kikuyu,0.5298
RASHID,nubi,0.4421
