SURNAME,TRIBE/ETHNIC GROUP,RA Confidence Level
KASIGANE,luhya,2
KASIM,arab,3
KASIMBA,kamba,1
KASIMIRI,luhya,3
KASINGA,kamba,3
KASINI,kamba,3
KASIS,kalenjin,3
KASISI,luhya,2
KASITET,kalenjin,3
KASIVA,luhya,3
KASIVAU,kamba,3
KASIVI,kamba,1
KASIVO,kamba,1
KASIVU,kamba,1
KASIVWAU,kamba,3
KASMAL,arab,2
KASOHA,kamba,3
KASOLE,luhya,1
KASOLOI,luhya,1
KASOMBA,kamba,2
KASOMO,swahili,1
KASONG'OI,kalenjin,3
KASONGYA,kamba,3
KASONZO,mijikenda,2
KASORAI,mijikenda,3
KASSAM,muslim,3
KASSAN,maasai,2
KASSIMU,luhya,3
KASTET,kalenjin,3
KASUA,kamba,3
KASUMAI,luhya,3
KASUME,kamba,2
KASUSWA,luhya,2
KASUVI,kamba,3
KASUYA,kamba,2
KASWII,kamba,3
KASYAMANI,luhya,3
KASYANI,kamba,3
KASYEMA,kamba,3
KASYOKA,kamba,3
KASYOKI,kamba,3
KASYU,kamba,1
KASYUI,kamba,2
KASYURA,kamba,1
KATAGON,kalenjin,3
KATAHA,kamba,1
KATAKA,luhya,3
KATALAI,masai,1
KATAMBANI,kamba,2
KATAMEI,kalenjin,3
KATANA        V,mijikenda,3
KATANA  ',taita,3
KATANG'A,kamba,2
KATEETI,kamba,2
KATEI,kamba,2
KATEIYA,meru,2
KATEKYO,kamba,3
KATEMA,luhya,1
KATEMBE,taita,2
KATENYA,kamba,2
KATERE,kamba,3
KATETE,kamba,2
KATHAGA,kikuyu,2
KATHALAU,kamba,3
KATHALI,kamba,3
KATHAMA,kamba,2
KATHAMBI,kamba,2
KATHANDE,kamba,3
KATHANGA,embu,2
KATHANGU,embu,3
KATHANZE,kamba,3
KATHARANE,embu,2
KATHATA,kikuyu,2
KATHAWE,kamba,2
KATHE DU,luhya,3
KATHEA,kamba,3
KATHEEKU,kamba,3
KATHEKA,kamba,3
KATHEKIA,kikuyu,2
KATHENGE,kamba,3
KATHENGI,embu,2
KATHENYA,kikuyu,2
KATHERU,embu,1
KATHIGA,kikuyu,3
KATHIGIRI,meru,3
KATHIKI,kamba,3
KATHIMA,kamba,1
KATHIMBA,kamba,1
KATHIMBU,meru,3
KATHINGATI,meru,2
KATHINGO,kikuyu,3
KATHINJA,kikuyu,3
KATHITA,kamba,3
KATHITU,kikuyu,3
KATHOMI,kamba,3
KATHONDO,kikuyu,1
KATHONI,embu,2
KATHU,meru,1
KATHUGU,embu,2
KATHUKA,kikuyu,2
KATHUKYA,kamba,3
KATHUMA,kamba,2
KATHUMBI,kikuyu,3
KATHUMU,kamba,2
KATHUNGI,meru,3
KATHUNGU,embu,2
KATHUNI,meru,2
KATHUNZI,kamba,3
KATHURI,meru,2
KATHUTHI,kikuyu,3
KATHUURE,meru,3
KATHUWA,kikuyu,1
KATHWULUKI,kamba,3
KATI,swahili,3
KATIKIT,kalenjin,3
KATIKU,kamba,1
KATILAK,kalenjin,2
KATILI,kamba,3
KATIM,kalenjin,1
KATIMBWA,kamba,3
KATINA,kamba,3
KATINDA,kamba,1
KATING'I,kamba,1
KATINGI,kamba,2
KATISI,luhya,3
KATISO,kamba,3
KATIVI,kamba,3
KATIVUI,kamba,3
KATODI,luhya,1
KATOKO,kamba,1
KATOLA,kamba,2
KATONDE,luhya,1
KATONGO,mijikenda,3
KATONGOI,luhya,1
KATONGU,meru,2
KATOTON,kalenjin,2
KATSANGA,luhya,2
KATSETSE,luhya,3
KATSEVI,luhya,3
KATSOLE,mijikenda,3
KATUI,kamba,2
KATUKYA,kamba,3
KATULA,kamba,3
KATULE,kamba,3
KATUMAN,kamba,3
KATUMBI,kamba,1
KATUMBO,kamba,2
KATUMBU,kamba,2
KATUMI,kamba,1
KATUMO,kalenjin,1
KATUMO   '     R,luhya,2
KATUNDYE,luhya,2
KATUNGI,kamba,3
KATUNGU,,
KATURU Y,kikuyu,2
KATUSE,kamba,2
KATUU,kamba,2
KATUVI,kamba,3
KATUWI,kalenjin,1
KATWA,kalenjin,3
KATYA,kamba,3
KAUCHOR,turkana,2
KAUDO,luo,1
KAUITA,kikuyu,1
KAUKWAN,turkana,1
KAULI,swahili,3
KAUMBA,meru,2
KAUMBI,meru,2
KAUMBU,kikuyu,1
KAUMBUKI,embu,2
KAUNDO,embu,2
KAUNDU,kamba,3
KAUNYU,kikuyu,2
KAURA,kikuyu,2
KAURIA,kikuyu,3
KAUSYA,kamba,3
KAUVI,kamba,3
KAUVWA,luhya,1
KAUZWA,mijikenda,3
KAVAI,luhya,3
KAVALE   '     R,luhya,3
KAVALI,luhya,2
KAVANDI,kamba,2
KAVANGI,luhya,2
KAVATHA,kamba,3
KAVATI,kamba,2
KAVEHAGI,luhya,3
KAVEKE,kamba,3
KAVELEKI,kamba,3
KAVEMBA,luhya,1
KAVESI,luhya,3
KAVEVO,kamba,2
KAVIHIZA,kamba,2
KAVIKU,kamba,3
KAVILA,kamba,2
KAVILI,kamba,3
KAVILU,kamba,3
KAVINDU,kamba,2
KAVINGU,embu,2
KAVISI,kamba,3
KAVITA,kamba,3
KAVITI,kamba,3
KAVIU,kamba,2
KAVIVYU,kamba,3
KAVOA,kamba,2
KAVOI,kamba,2
KAVOLO,kamba,2
KAVONGA,mbeere,2
KAVOO,kamba,2
KAVUGWI,luhya,1
KAVUI,kamba,1
KAVUKU,kamba,3
KAVULI,luhya,3
KAVULU,kamba,3
KAVULYA,kamba,3
KAVUMBI,kamba,1
KAVUNDA,kamba,3
KAVUNDUU,kamba,3
KAVUNGO,kamba,3
KAVUNGULA,luhya,3
KAVUNGWA,luhya,3
KAVURANE,luhya,3
KAVURANI,kamba,2
KAVURI,kamba,1
KAVUSYA,kamba,3
KAVUTA,kamba,3
KAVUTHI,kamba,2
KAVUTI,kamba,1
KAVUU,kamba,2
KAWASYA,luhya,1
KAWEU,kamba,3
KAWII,kamba,2
KAWINZI,luhya,3
KAWIRA,kikuyu,3
KAWIRIA,meru,3
KAWITT I,luo,3
KAWUMA,meru,3
KAWUONDI,kamba,3
KAYAI,luo,1
KAYALA,kamba,2
KAYANDO,luhya,2
KAYANG,turkana,1
KAYAYU,luhya,2
KAYE,luhya,1
KAYERE,kisii,2
KAYERI,luhya,2
KAYETE,luhya,2
KAYIAN,masai,3
KAYIYA,luhya,2
KAYOLEI,kalenjin,2
KAYONGO,luo,3
KAYUGIRA,kikuyu,3
KAYUKI,kamba,2
KAYULU,kamba,3
KAZIAHINDI,mijikenda,2
KAZIYAHINDI,mijikenda,1
KAZUNGU,swahili,3
KAZURI,swahili,3
KCHERUIYOT,kalenjin,3
KEA,luhya,3
KEANGO,kuria,1
KEBABE,kisii,2
KEBARE,luhya,3
KEBARIT,kalenjin,2
KEBATA,,
KEBENEI,kalenjin,3
KEBENEY,kalenjin,3
KEBOKERO,kisii,3
KEBONGO,kisii,3
KEBUCHO,kisii,3
KEBUT,kalenjin,3
KEBUTU,kamba,2
KECH,luo,3
KEDEKI,luhya,3
KEDEVEDE,luhya,2
KEDIMUK,kalenjin,2
KEDINGURA,taita,3
KEDINYANG,turkana,2
KEDIPUS,teso,3
KEDIRENG,kalenjin,1
KEDITANY,kalenjin,3
KEDIYE,luhya,3
KEDOGI,luhya,3
KEDOGO,luhya,3
KEDOHI,luhya,3
KEEYA,kamba,2
KEFFA,embu,2
KEFWA,luhya,1
KEGEI,luhya,1
KEGESA,kisii,3
KEGO,kisii,2
KEGOCHA,kisii,3
KEGODE,luhya,3
KEGOKORA,kisii,1
KEGOLI,luhya,3
KEGONCHIRI,kisii,3
KEGONKO,kisii,3
KEGORO,luhya,3
KEGWANDA       N,kisii,1
KEINO,kalenjin,1
KEITANY,,
KEITTANY,kalenjin,2
KEIWUA,kalenjin,3
KEIWYA,kamba,2
KEKA,luhya,3
KEKENYI,luhya,1
KELA,luo,2
KELAS,maasai,1
KELEBEI,kalenjin,2
KELEM,kalenjin,3
KELETEKAN,teso,1
KELLONG,kalenjin,3
KELLONYE,gabra,2
KELOKO,kamba,1
KELONG,pokot,2
KELWON,kalenjin,2
KEMBENYA,luhya,3
KEMBO,kisii,3
KEMBOIGF,kalenjin,3
KEMBOL,,
KEMENE,kamba,3
KEMENJU,kikuyu,3
KEMERA,meru,2
KEMETO,kalenjin,3
KEMEY,kalenjin,3
KEMHE,somali,1
KEMOI,kalenjin,2
KEMONI,kalenjin,2
KEMORGO,kalenjin,3
KEMOSI,luhya,2
KEMUMA,kikuyu,3
KEMWAMA,kisii,3
KENCHWEL,kisii,2
KENDAGOR,taita,1
KENDAROR,kalenjin,3
KENDI,meru,1
KENDO,luo,3
KENDUIWA,kalenjin,3
KENDUIWO,kalenjin,3
KENDUIYWA,kisii,2
KENDULWA,kalenjin,2
KENDUYWA,kisii,2
KENEDY,christian,3
KENEI,kalenjin,2
KENERING,kalenjin,3
KENG'ARI,kikuyu,1
KENGAA,kisii,2
KENGERE   M,kalenjin,1
KENGITI,kamba,3
KENIO,kalenjin,2
KENMEDY,christian,3
KENNEDY,christian,2
KENTAGOR,kalenjin,3
KENTATTA,massai,2
KENY,luo,2
KENY TTA,kisii,1
KENYANDO,kisii,1
KENYANYA,kisii,2
KENYATA,,
KENYATTA,kikuyu,3
KENZI,meru,2
KEOCH,kalenjin,3
KEOGA,kisii,3
KEPINYANG,pokot,3
KERAI,maasai,1
KERAKA,kisii,2
KERAN,kalenjin,1
KERANDI,kisii,2
KERARIO        ',kisii,3
KERARO,kisii,3
KERATA,kisii,1
KEREBEI,kalenjin,1
KEREBI,kisii,1
KEREDA,meru,2
KEREIKWANG,kalenjin,1
KEREMBE,kamba,3
KERERIA,kikuyu,2
KERESENDI,kisii,1
KERETOF,kalenjin,3
KERETU,kamba,1
KERICH J,kalenjin,3
KERIGA,kikuyu,3
KERIGU,meru,3
KERIMA,kikuyu,2
KERING,kalenjin,1
KERITO,kalenjin,1
KEROCHI,kisii,3
KEROKE,maasai,2
KEROMBE,kisii,2
KERONGO,kisii,2
KERORO,kikuyu,3
KEROTE,meru,2
KEROTI,meru,3
KEROW,mijikenda,1
KESA,luhya,3
KESASI,kalenjin,2
KESEE,kamba,1
KESEINE,kalenjin,1
KESEMBE,kamba,1
KESHO,swahili,3
KESIKAR,kalenjin,3
KESIO,kalenjin,2
KESIS,kalenjin,1
KESITET,maasai,1
KESOROBI,kisii,1
KESSES,kalenjin,3
KESYOLE,luhya,1
KETE,kikuyu,2
KETIKAI,maasai,1
KETILE,kalenjin,2
KETKERONYE,kalenjin,2
KETTON,kalenjin,3
KETUKEI,kalenjin,3
KEVELENGE,luhya,1
KEVERENGE,luhya,2
KEVOGE,luhya,1
KEVOGO,luhya,3
KEYA,luhya,3
KEYA'',luhya,3
KEYA-,luhya,3
KEYAH,luhya,3
KEYAI,kalenjin,2
KEYARI,kisii,2
KEYNAN,somali,3
KHABAHA,luhya,3
KHABAI,luhya,2
KHABANA,luhya,3
KHABANJA,luhya,3
KHABAYI,luhya,2
KHABE,luhya,2
KHABO,luhya,3
KHABOKHI,luhya,3
KHABUKWA,luhya,3
KHABWAGALA,luhya,3
KHACHENJE,luhya,1
KHADENYI,luhya,2
KHADUDU,luhya,1
KHADULI,luhya,3
KHADUMUSI,luhya,3
KHADUYU,mijikenda,3
KHAELI,kamba,2
KHAEMBE,luhya,3
KHAFAFA,luhya,1
KHAFMBA,luhya,3
KHAFWAFWA,luhya,1
KHAGABO,luhya,3
KHAGARI,luhya,3
KHAGEHA,luhya,3
KHAGOISI,luhya,1
KHAGULA,luhya,3
KHAGUYA,luhya,3
KHAHANDARI,luhya,3
KHAIKA,kamba,3
KHAILEY,borana,2
KHAILWA,luhya,2
KHAJILA,luhya,2
KHAJONGA,luhya,1
KHAKA,luhya,3
KHAKABO,luhya,3
KHAKAME,luhya,2
KHAKAMI,luhya,2
KHAKASA,luhya,3
KHAKATA,luhya,1
KHAKAYI,luhya,2
KHAKILA,luhya,1
KHAKOIZI,luhya,3
KHAKOMA,luhya,2
KHAKONDI,luhya,2
KHALA,luhya,3
KHALAKAI,luhya,3
KHALAKAYI,luhya,2
KHALAKUBA,luhya,1
KHALEBELE,luhya,2
KHALEJI,luhya,3
KHALEMBI,luhya,3
KHALENDU,luhya,1
KHALFAN,muslim,3
KHALI,luhya,1
KHALIALI,luhya,3
KHALIFA,muslim,3
KHALIGONA,luhya,1
KHALIL,muslim,2
KHALISIA,luhya,2
KHALITSA,luhya,3
KHALIVINZWA,luhya,3
KHALKON,luhya,1
KHALOBA,luhya,2
KHALUMBA,luhya,3
KHALUMI,luhya,2
KHALWALE,luhya,2
KHAMADI,luhya,2
KHAMALA,luhya,2
KHAMALI,luhya,2
KHAMASI,luhya,2
KHAMATI,luhya,2
KHAMBIYE,luhya,3
KHAMILA,luo,3
KHAMIRA,luhya,3
KHAMIS,muslim,3
KHAMUKA,luhya,3
KHAMULEMI,luhya,3
KHAMUSALI,luhya,3
KHAMUSINI,luhya,3
KHAMUYE,luhya,3
KHAN,ismaili muslim,3
KHANBHAI,luhya,2
KHANDA,luhya,3
KHANDWALLA,luhya,2
KHANG'ASI,luhya,2
KHANGUHA,luhya,3
KHANILI,luhya,3
KHANYA,luhya,3
KHANYANGA,luhya,3
KHANYERERI,luhya,3
KHANYIRA,luhya,3
KHAONGA,luhya,2
KHAOYA,luhya,3
KHAPATI,luhya,3
KHAREVERA,luhya,2
KHARINDA,luhya,2
KHASABULI,luhya,3
KHASABURE,luhya,3
KHASAKHALA,luhya,3
KHASAMBA,luhya,3
KHASAMULE,luhya,3
KHASANDI,luhya,3
KHASENYA,luhya,3
KHASENYE,luhya,1
KHASEWA,luhya,3
KHASHIHI,luhya,3
KHASHIYI,luhya,2
KHASI,luhya,2
KHASOA,luhya,3
KHASOHA,luhya,3
KHATA,luhya,1
KHATE,luhya,3
KHATEJE,luhya,3
KHATELA,luhya,3
KHATEMBESHI,luhya,3
KHATEMBUKHANI,luhya,3
KHATENJE,luhya,2
KHATENYI,luhya,3
KHATI,luhya,3
KHATIEVI,luhya,3
KHATIKA,luhya,1
KHATILI,swahili,2
KHATIOLI,luhya,3
KHATIYA,luhya,3
KHATOR,luhya,3
KHATSINA,luhya,2
KHATSWENU,luhya,1
KHATUKHILA,luhya,3
KHAUKHA,luhya,3
KHAUNGA,luhya,1
KHAUSI,luhya,3
KHAVANA,luhya,3
KHAVAYI,luhya,3
KHAVEKWA,luhya,3
KHAVENGUHA,luhya,3
KHAVEZA,luhya,3
KHAVINGUHA,luhya,1
KHAVOKOYI,kamba,2
KHAVOSHI,luhya,3
KHAVUETE,luhya,2
KHAVUGWI,luhya,3
KHAVUKWI,kamba,3
KHAYAKA,luhya,2
KHAYALA,luhya,3
KHAYANGA,luhya,3
KHAYASI,luhya,3
KHAYATI,luhya,3
KHAYEGA,luhya,3
KHAYENJE,luhya,1
KHAYINGA,luhya,3
KHAYIYA,luhya,3
KHAYO,luhya,3
KHAYOKO,luhya,3
KHAYOTA,luhya,3
KHAYUKUMI,luhya,3
KHAYUNGIRA,luhya,2
KHAZALWA,luhya,3
KHAZIKA,luhya,2
KHENJE,luhya,3
KHERI,,
KHESELI,luhya,1
KHEVALI,luhya,3
KHINDOYA,luhya,1
KHINDULLI,luhya,1
KHISA,luhya,2
KHISAH,luhya,3
KHOLBOKHA,luhya,3
KHOMBE,luhya,1
KHONA,luhya,1
KHUBALA,luhya,3
KHUMA,luhya,3
KHUMBA,luhya,3
KHURO,luhya,3
KHUSI,luhya,2
KHWIRA,luhya,3
KI IWOT,kalenjin,3
KIABU,meru,2
KIAGAI,luhya,2
KIAGEH,kikuyu,1
KIAGIRI,kikuyu,3
KIAGU,kikuyu,3
KIAI,kikuyu,3
KIALA,kamba,3
KIAMA,kikuyu,3
KIAMBA,kikuyu,2
KIAMBATI,kikuyu,2
KIAMBI,kikuyu,2
KIAMBURA,kuria,2
KIAMBUTHI,kikuyu,3
KIAMUNYURI,kikuyu,2
KIANA,kikuyu,1
KIANDA,embu,1
KIANDUMA,kikuyu,1
KIANG'A,kamba,2
KIANGA,kamba,2
KIANGONYO,kikuyu,3
KIARAA,kikuyu,1
KIARAGO,kikuyu,2
KIARAHO,kikuyu,2
KIARU,meru,1
KIAURA,kikuyu,1
KIAUTHA,kikuyu,1
KIBABU,kamba,2
KIBAGA,meru,1
KIBAGENDI,kalenjin,3
KIBALACHI,luhya,3
KIBALI,swahili,3
KIBALULI,luhya,2
KIBANGA,meru,2
KIBARUA,swahili,3
KIBATHI,kikuyu,2
KIBE,kalenjin,3
KIBEBO,swahili,1
KIBECHU,kikuyu,3
KIBENGE,mijikenda,1
KIBENI,kikuyu,2
KIBERA,kikuyu,3
KIBEREN,kalenjin,3
KIBERENG E,kalenjin,3
KIBERENGE,kalenjin,3
KIBERUT,kalenjin,3
KIBET,kalenjin,3
KIBET K,kalenjin,3
KIBETH,kamba,2
KIBETKWAN,kalenjin,3
KIBETT,kalenjin,2
KIBI,embu,1
KIBIBI,swahili,3
KIBICHO,kikuyu,3
KIBIEI,kalenjin,3
KIBIGU,kikuyu,2
KIBIHI,luhya,3
KIBII,kalenjin,3
KIBIKU,kikuyu,3
KIBIKWA,kikuyu,2
KIBINGI,mijikenda,1
KIBIRA,kikuyu,3
KIBIRAI,meru,2
KIBIRECH,kalenjin,3
KIBIRIBIRI,kikuyu,2
KIBIRIT,kalenjin,2
KIBIRITI,kikuyu,3
KIBIRONG,kalenjin,3
KIBISU,luhya,3
KIBITOK,kalenjin,3
KIBIU,kikuyu,3
KIBIWOIT,kalenjin,3
KIBIWOT,kalenjin,3
KIBIWOTT,kalenjin,3
KIBOBI,kikuyu,1
KIBOCHEI,kalenjin,3
KIBOCHI,luhya,3
KIBOCHO,kikuyu,1
KIBOGO,kikuyu,3
KIBOGORO,kikuyu,3
KIBOKO,mijikenda,3
KIBOMA,swahili,3
KIBOMEK,kalenjin,3
KIBOMET,kalenjin,1
KIBONEI,kalenjin,2
KIBONGE,swahili,3
KIBOR,kalenjin,3
KIBORE,kalenjin,2
KIBOTHO,kikuyu,2
KIBOWEN,kalenjin,2
KIBUBA,kikuyu,2
KIBUGA,kikuyu,2
KIBUGI,kikuyu,2
KIBUGO,kikuyu,3
KIBUGU,kikuyu,2
KIBUI,kikuyu,3
KIBUIYA,kikuyu,1
KIBUNGA,luhya,3
KIBUNGEI,kalenjin,3
KIBUNJA,kikuyu,3
KIBUNJIA,luhya,1
KIBURI,swahili,3
KIBURU,kikuyu,3
KIBURUGO,kalenjin,2
KIBUSIA,luhya,2
KIBUTHA,kikuyu,3
KIBUTHI,kikuyu,1
KIBUTHIA,kikuyu,2
KIBUTHUU,kikuyu,1
KIBUYU,swahili,3
KIBWAGA,luhya,2
KIBWANA,mijikenda,3
KIBWOGO,embu,2
KIBWOLI,luhya,2
KICHAMU,luhya,1
KICHAWA,mijikenda,3
KICHAWELE,luhya,2
KICHE,luo,3
KICHWEN,kalenjin,3
KIDABA,kamba,2
KIDAKI,luhya,1
KIDAKWA,luhya,1
KIDALI,luhya,1
KIDAMBA,mijikenda,2
KIDAMBALE,luhya,2
KIDANGU,luhya,1
KIDATO,swahili,3
KIDAU,luhya,2
KIDAVI,luhya,3
KIDEDELA,taita,1
KIDEGHO,mijikenda,1
KIDEMERI,luhya,3
KIDEMGE,mijikenda,2
KIDENDWA,kamba,1
KIDENGE,luhya,2
KIDEO,kisii,2
KIDHONGO,luhya,2
KIDHUKU,kikuyu,1
KIDHUMA,luhya,2
KIDIAVAI,luhya,3
KIDIAVAYI,luhya,3
KIDIDI,luhya,1
KIDIGA,luhya,3
KIDINGA,luhya,2
KIDIWA,luo,2
KIDIYA,luhya,2
KIDOGO,swahili,3
KIDOKI,luhya,2
KIDOMBO,mijikenda,2
KIDONDI,luhya,2
KIDULA,luhya,3
KIDUSU,luhya,1
KIDWADI,luhya,1
KIDZAO,teso,1
KIDZOKA,mijikenda,2
KIE,kamba,3
KIEGA,kikuyu,3
KIEKE,kamba,2
KIENDI,kikuyu,3
KIENGA,kikuyu,2
KIENJE,meru,3
KIENJEKU,kikuyu,3
KIENYERE,kikuyu,2
KIENYU,kamba,1
KIERA,kikuyu,1
KIERI,kikuyu,1
KIERU,meru,3
KIETI,kamba,1
KIETTI,kamba,2
KIFORO,kikuyu,3
KIGALU,luhya,1
KIGAMBA,kikuyu,2
KIGANANE,meru,3
KIGANANE       W,luhya,3
KIGANE,kikuyu,3
KIGANGA,kisii,2
KIGANYA,kikuyu,2
KIGARAVE,luhya,1
KIGET,kalenjin,3
KIGIA,mbeere,2
KIGIRI,kikuyu,3
KIGO,taita,1
KIGOCHI,kikuyu,3
KIGOIYO,kikuyu,3
KIGORO,kikuyu,2
KIGOTHI,kikuyu,1
KIGUCHIA,kikuyu,3
KIGUHA,luhya,3
KIGUHI,kikuyu,2
KIGUMO,kikuyu,3
KIGUNDU,kikuyu,2
KIGUNGE,meru,2
KIGURI,kikuyu,3
KIGUTA,kikuyu,2
KIGUU,swahili,3
KIGWA,kikuyu,1
KIGWERU,kikuyu,2
KIHAGE,kikuyu,3
KIHAGURU,kikuyu,2
KIHAMA,kikuyu,1
KIHANDA,luhya,1
KIHANG'A,kikuyu,3
KIHANG'U,kikuyu,3
KIHANGA,meru,2
KIHANGU,kikuyu,3
KIHANYA,luhya,3
KIHARA,kikuyu,3
KIHARO,kikuyu,1
KIHAYA,luhya,2
KIHENJO,kikuyu,1
KIHEREKO,luhya,2
KIHERIO,kikuyu,3
KIHIA,kikuyu,2
KIHIGI,kikuyu,3
KIHIHIA,kikuyu,3
KIHIKA,kikuyu,3
KIHIMA,kikuyu,2
KIHINDI,kamba,2
KIHINGO,kikuyu,3
KIHOHU,kikuyu,3
KIHOKO,kikuyu,3
KIHONI,kikuyu,1
KIHORI,kikuyu,3
KIHORIA,kikuyu,1
KIHOTI,kikuyu,1
KIHU,kikuyu,2
KIHUGA,kikuyu,2
KIHUGI,kikuyu,3
KIHUGU,kikuyu,2
KIHUKO,kikuyu,3
KIHUMBA,kikuyu,3
KIHUMBU,embu,3
KIHUNGI,kikuyu,3
KIHUNGU,kikuyu,2
KIHUNYO,kikuyu,2
KIHURI,kikuyu,3
KIHURIA,kikuyu,3
KIHURO,kikuyu,3
KIHUZIRI,mijikenda,2
KIHWAGA,mijikenda,2
KIIGE,basuba,2
KIIGI,kikuyu,3
KIIGU,kikuyu,2
KIILLU,kamba,1
KIILU,kamba,3
KIILU     M,kamba,3
KIIMA,kamba,1
KIINATI,meru,2
KIIO,swahili,3
KIIRIA,meru,2
KIITSAO,mijikenda,3
KIIURA,meru,2
KIJOKA,swahili,3
KIJUMBA,taita,3
KIKAA,,
KIKASA,kamba,2
KIKASMAT,kalenjin,2
KIKAWU,teso,1
KIKAYAYA,mijikenda,1
KIKEI,kalenjin,2
KIKEN,kalenjin,3
KIKETI,swahili,3
KIKOI,swahili,3
KIKOIYO,luo,2
KIKOMBO,teso,2
KIKOMO,swahili,3
KIKOTI,teso,2
KIKUBU,kikuyu,2
KIKUMBI,kamba,3
KIKUYU,kikuyu,3
KIKWAI,luhya,2
KIKWATHA,embu,2
KIKWECHI,luhya,3
KILAA,kamba,1
KILACH,kalenjin,3
KILAI,kamba,1
KILAKAVE,kamba,3
KILAKOI,kalenjin,3
KILANGE,kamba,2
KILANGO,kamba,3
KILANGYA,luhya,2
KILAPAI,kalenjin,1
KILATYA,kamba,2
KILAVI,luhya,1
KILAVU,kamba,1
KILEE,kamba,1
KILEGES,kalenjin,3
KILEI,kalenjin,3
KILEKYO,kamba,3
KILEL,kalenjin,3
KILELA,kamba,2
KILELE,kamba,3
KILELEU,kamba,2
KILELL,kalenjin,1
KILEMBI,kamba,2
KILESI,luhya,3
KILETA,kamba,2
KILEYI,kalenjn,3
KILIFI,mijikenda,3
KILILE,kamba,2
KILILI,kamba,3
KILIMAMERU,swahili,1
KILIMO,kalenjin,3
KILINDI,kamba,3
KILING,kalenjin,2
KILINGO,mijikenda,2
KILINYANG,nubi,1
KILISI,luhya,1
KILISWA,kamba,3
KILITI,kamba,2
KILIVA,luhya,3
KILIVI,kamba,2
KILKORIS,maasai,1
KILOBI,kamba,3
KILOKA,kamba,1
KILOKO,kamba,1
KILONG'I,kamba,3
KILONGA,swahili,2
KILONGI,kamba,2
KILONGOSI,luhya,2
KILONZ,kamba,3
KILONZ O,kamba,2
KILONZI,kamba,1
KILONZO,kamba,3
KILOTE,kamba,2
KILOVE,kamba,3
KILUGHA,swahili,2
KILUKUMI,kamba,3
KILUKWA,luhya,1
KILUMB U,kamba,2
KILUME,kamba,1
KILUND,luhya,1
KILUNDA,kamba,3
KILUNDO,luhya,1
KILUNGA,kamba,3
KILUNGI,kamba,3
KILUNGULLA,teso,1
KILUNGYA,kamba,3
KILUNJA,kamba,2
KILUSU,kamba,3
KILUSYO,kamba,1
KILUTI,kamba,1
KILUVA,kamba,3
KILWAK E,luhya,3
KILWAKE,luhya,2
KILYONDO,kamba,2
KILYUNGI,kamba,1
KIMA,swahili,3
KIMACHIA,kikuyu,3
KIMAE,kikuyu,1
KIMAI,kamba,2
KIMAIGUT,kalenjin,3
KIMAIN,kalenjin,3
KIMAIO,kalenjin,1
KIMAIRR,teso,3
KIMAISI,luhya,2
KIMAITA,kalenjin,3
KIMAITI,teso,3
KIMAIYO,kalenjin,3
KIMAIYO JOEL,kalenjin,3
KIMAIYWA,luhya,2
KIMAKAL,pokot,3
KIMAKET,kalenjin,3
KIMAKO,kikuyu,3
KIMAKON,kalenjin,1
KIMAKU,kikuyu,1
KIMALA,kamba,2
KIMALEL,kalenjin,3
KIMALI,luhya,1
KIMAMA,swahili,1
KIMAMANCHA,kisii,3
KIMAMBEI,kalenjin,3
KIMAMI,kikuyu,1
KIMANDI,kamba,3
KIMANG'A,kamba,1
KIMANGARA,embu,1
KIMANGARU,kalenjin,3
KIMANI,kikuyu,3
KIMANI         O,kikuyu,3
KIMANI S',kikuyu,3
KIMANTHII,kamba,3
KIMANYIO,kalenjin,3
KIMAO,kamba,2
KIMAR I,kikuyu,3
KIMARERI,kalenjin,1
KIMARI,kikuyu,3
KIMARWA,kikuyu,1
KIMASAS,kalenjin,2
KIMASYO,kamba,3
KIMATA,meru,3
KIMATEP,kalenjin,1
KIMATHA,kamba,1
KIMATIA,kalenjin,3
KIMATTA,kamba,1
KIMATU,kikuyu,2
KIMAYWA,luhya,1
KIMBIO,swahili,3
KIMBIRA,mijikenda,2
KIMBO,kikuyu,1
KIMEEI,kalenjin,3
KIMEI,kalenjin,2
KIMELE,luhya,2
KIMELENY,kalenjin,3
KIMELI,kalenjin,3
KIMELIL,kalenjin,3
KIMEMIA,meru,1
KIMEMIAH,kikuyu,3
KIMENCHU,kalenjn,3
KIMENDERI,kikuyu,2
KIMENDERO,luhya,2
KIMENGI,kalenjin,2
KIMENJU,kikuyu,3
KIMENYE,kikuyu,3
KIMENYOR,kalenjin,3
KIMERA,kikuyu,2
KIMERENG,turkana,3
KIMERU,kikuyu,1
KIMETHU,kikuyu,2
KIMETTO,maasai,2
KIMETU,kalenjin,1
KIMICHIR,kalenjin,2
KIMILU,kamba,1
KIMINDA,luhya,2
KIMINDI,kikuyu,2
KIMINDILI,kamba,2
KIMINDU,kikuyu,2
KIMINGI,luhya,2
KIMINGICHI,kalenjn,3
KIMINING,kalenjin,2
KIMINYA,kikuyu,2
KIMINYU,luhya,2
KIMINZA,luhya,2
KIMIRINY,kalenjin,3
KIMIRU,kikuyu,1
KIMISIK,kalenjin,3
KIMITA,tharaka,2
KIMITEI,kalenjin,3
KIMIYWI,kalenjin,1
KIMNG'ENY,kalenjin,3
KIMOBO,luhya,3
KIMOLI,kamba,1
KIMOMO,kikuyu,3
