Surname,Predicted,True,Correct
SHIVENDE,luhya,luhya,1
WANJALA,luhya,luhya,1
VALARY,luhya,luhya,1
ANUNDA,luhya,luhya,1
NYONGESA,luhya,luhya,1
FAMBI,luhya,luhya,1
MODEGWA,luhya,luhya,1
WEKESA,luhya,luhya,1
MWANAIDI,taita,luhya,0
BARASA,luhya,luhya,1
ABUNG'ANA,luhya,luhya,1
INGOSI,luhya,luhya,1
KONYA,luhya,luhya,1
ASENJI,luhya,luhya,1
NAMASAKA,luhya,luhya,1
ENOCK,luhya,luhya,1
DARIZO,luhya,luhya,1
JUMA,mijikenda,luhya,0
BARASA,luhya,luhya,1
NEKESA,luhya,luhya,1
WAKA,luhya,luhya,1
AWINJA,luhya,luhya,1
OKOTH,luo,luhya,0
ATIENO,luo,luhya,0
NANJALA,luhya,luhya,1
WEKESA,luhya,luhya,1
KUNEKEYA,luhya,luhya,1
WAFULA,luhya,luhya,1
INYANGIRA,luhya,luhya,1
MURASI,luhya,luhya,1
CHITTE,luhya,luhya,1
NANG'ENI,luhya,luhya,1
NELIMA,luhya,luhya,1
NELIMA,luhya,luhya,1
MUINDI,luhya,luhya,1
OKWEMBA,luhya,luhya,1
KWENO,luhya,luhya,1
AYUMA,luhya,luhya,1
NAFULA,luhya,luhya,1
WAFULA,luhya,luhya,1
ALUMASA,luhya,luhya,1
OMUKAH,luhya,luhya,1
WASWA,luhya,luhya,1
MULIMI,kamba,luhya,0
SIMIYU,luhya,luhya,1
SIMIYU,luhya,luhya,1
BENEDICT,luhya,luhya,1
LIVEHA,luhya,luhya,1
MARUTI,kisii,luhya,0
MARUTI,kisii,luhya,0
WANDO,luhya,luhya,1
WANJALA,luhya,luhya,1
WANGA,luhya,luhya,1
BAHATI,luhya,luhya,1
MACHEKA,luhya,luhya,1
WAKA,luhya,luhya,1
NAMBIA,luhya,luhya,1
AMBIYO,luhya,luhya,1
MWANGI,kikuyu,luhya,0
ADHIAMBO,luo,luhya,0
ANDAE,luhya,luhya,1
WEKESA,luhya,luhya,1
WAFULA,luhya,luhya,1
CHOKO,luhya,luhya,1
NAMIRANDA,luhya,luhya,1
RASHID,luhya,luhya,1
ANYANGO,luo,luo,1
ATIENO,luo,luo,1
ODERO,luo,luo,1
AOKO,luo,luo,1
AKINYI,luo,luo,1
OUMA,luo,luo,1
KOWEJE,luo,luo,1
ATIENO,luo,luo,1
OGOLLA,luo,luo,1
OCHIENG,luo,luo,1
ACHIENG,luo,luo,1
OBIERO,luo,luo,1
OGUTU,luo,luo,1
AUMA,luo,luo,1
OCHIENG,luo,luo,1
NYARIERA,luo,luo,1
ATIENO,luo,luo,1
AWUOR,luo,luo,1
OCHIENG,luo,luo,1
OUMA,luo,luo,1
ACHIENG,luo,luo,1
AKOTH,luo,luo,1
AWOUR,luo,luo,1
AWOUR,luo,luo,1
AOKO,luo,luo,1
OKUMU,luo,luo,1
ODHIAMBO,luo,luo,1
OWERA,luo,luo,1
JUMA,mijikenda,luo,0
OJERO,luo,luo,1
OJERO,luo,luo,1
ATIENO,luo,luo,1
ATIENO,luo,luo,1
AOKO,luo,luo,1
OKIRU,luo,luo,1
OWINO,luo,luo,1
ODHIAMBO,luo,luo,1
ANYANGO,luo,luo,1
ACHIENG,luo,luo,1
ATIENO,luo,luo,1
OKOTH,luo,luo,1
ABONGO,luo,luo,1
OMONDI,luo,luo,1
ADHIAMBO,luo,luo,1
ATIENO,luo,luo,1
OYOO,luo,luo,1
OCHIENG,luo,luo,1
ODHIAMBO,luo,luo,1
ODUOR,luo,luo,1
OKOLA,luo,luo,1
OTIENO,luo,luo,1
OTIENO,luo,luo,1
OTIENO,luo,luo,1
JOHNSTONE,luo,luo,1
ATITI,luo,luo,1
MAGARA,kisii,luo,0
OLWENY,luo,luo,1
ACHIENG,luo,luo,1
OWAMA,luo,luo,1
NAFULA,luhya,luo,0
ATIENO,luo,luo,1
AWINO,luo,luo,1
APIYO,luo,luo,1
AWUOR,luo,luo,1
ONGOLO,luo,luo,1
OTIENO,luo,luo,1
OIRO,luo,luo,1
OMOLLO,luo,luo,1
OMONDI,luo,luo,1
OMONDI,luo,luo,1
ODHIAMBO,luo,luo,1
OKOTH,luo,luo,1
OMONDI,luo,luo,1
ADHIAMBO,luo,luo,1
AKINYI,luo,luo,1
AOKO,luo,luo,1
AWINO,luo,luo,1
AWUOR,luo,luo,1
AWUOR,luo,luo,1
AKINYI,luo,luo,1
ONYANGO,luo,luo,1
ATIENO,luo,luo,1
ODUORY,luo,luo,1
ODHIAMBO,luo,luo,1
ATIENO,luo,luo,1
ACHIENG'OPUK,luo,luo,1
OWINO,luo,luo,1
ADHIAMBO,luo,luo,1
ANYANGO,luo,luo,1
APIYO,luo,luo,1
AUMA,luo,luo,1
AGWA,luo,luo,1
ONYANGO,luo,luo,1
OPILE,luo,luo,1
ADHIAMBO,luo,luo,1
OKIMBA,luo,luo,1
OCHIENG,luo,luo,1
OLOO,luo,luo,1
OCHIENG,luo,luo,1
NASHION,luhya,luo,0
OTIENO,luo,luo,1
ATIENO,luo,luo,1
OKOTH,luo,luo,1
ACHIENG,luo,luo,1
OWINO,luo,luo,1
ACHIENG,luo,luo,1
OLWENY,luo,luo,1
OKOTH,luo,luo,1
OMONDI,luo,luo,1
ACHOLA,luo,luo,1
HONGO,luo,luo,1
OYACH,luo,luo,1
ADHIAMBO,luo,luo,1
SEMO,luo,luo,1
OTIENO,luo,luo,1
ATIENO,luo,luo,1
ADHIAMBO,luo,luo,1
OMACH,luo,luo,1
OTUNDO,luo,luo,1
ODHIAMBO,luo,luo,1
OUMA,luo,luo,1
ANYANGO,luo,luo,1
OCHIENG',luo,luo,1
ONDITI,luo,luo,1
OCHIENG,luo,luo,1
WASONGA,luhya,luo,0
AKOTH,luo,luo,1
ACHIENG,luo,luo,1
ACHIENG,luo,luo,1
OGOLA,luo,luo,1
OPIYO,luo,luo,1
OGADA,luo,luo,1
ODHIAMBO,luo,luo,1
OLUM,luo,luo,1
OMONDI,luo,luo,1
WERE,luhya,luo,0
AWUOR,luo,luo,1
AWUOR,luo,luo,1
ATIENO,luo,luo,1
ADHIBO,luo,luo,1
ADOYO,luo,luo,1
ONYANGO,luo,luo,1
ATIENO,luo,luo,1
OPATI,luo,luo,1
ATIENO,luo,luo,1
MAHERO,luhya,luo,0
ODOYO,luo,luo,1
ORAGE,luo,luo,1
YENGO,masai,masai,1
LEPARA,masai,masai,1
SIKAWA,masai,masai,1
KILUSU,kamba,masai,0
WALEPO,masai,masai,1
KATIU,masai,masai,1
LETOTION,kalenjin,masai,0
NAMPASU,masai,masai,1
LETELEI,masai,masai,1
MEREU,masai,masai,1
LETORONTO,masai,masai,1
NDETI,kamba,masai,0
SHUNA,taita,masai,0
NAMPASI,masai,masai,1
KAKENYA,masai,masai,1
KAPEEN,masai,masai,1
LEMPARA,masai,masai,1
NKAISERI,masai,masai,1
KATIKAI,masai,masai,1
LOKISHON,masai,masai,1
IKAYO,luo,masai,0
NJUE,embu,mbeere,0
MUTHONI,kikuyu,mbeere,0
MUKABA,mbeere,mbeere,1
MUTHONI,kikuyu,mbeere,0
NJIRU,mbeere,mbeere,1
NDWIGA,mbeere,mbeere,1
MWINGI,mbeere,mbeere,1
OMAR,mijikenda,mbeere,0
NJOKI,kikuyu,meru,0
MAWERA,kamba,meru,0
ANDILU,meru,meru,1
KAWIRA,meru,meru,1
KAWIRA,meru,meru,1
KATHAMBI,meru,meru,1
KAJUJU,meru,meru,1
MWENDA,meru,meru,1
KINYA,kikuyu,meru,0
KAWIRA,meru,meru,1
MWIRICHIA,meru,meru,1
MURITHI,meru,meru,1
NTINYARI,meru,meru,1
MUTHONI,kikuyu,meru,0
NTHUKU,meru,meru,1
KAMBUA,meru,meru,1
MURITHI,meru,meru,1
NJORO,kikuyu,meru,0
MAORE,meru,meru,1
KENDI,meru,meru,1
MUKOMWA,meru,meru,1
MURIUKI,kikuyu,meru,0
THURANIRA,meru,meru,1
KAWIRA,meru,meru,1
KITHINJI,kikuyu,meru,0
GITIYE,meru,meru,1
JABAN,meru,meru,1
KAILU,meru,meru,1
KAROKI,kikuyu,meru,0
KAWIRA,meru,meru,1
KINYA,kikuyu,meru,0
MUTHONI,kikuyu,meru,0
GITONGA,kikuyu,meru,0
KANGAI,kikuyu,meru,0
MUNYOKI,meru,meru,1
MUREKE,meru,meru,1
MURERWA,kikuyu,meru,0
KARAMBU,meru,meru,1
KAUMBUTHU,kikuyu,meru,0
KINYWA,embu,meru,0
NKROTE,meru,meru,1
KAIRUTHI,kikuyu,meru,0
MUMBI,meru,meru,1
MUTHONI,kikuyu,meru,0
MUNENE,kikuyu,meru,0
NKROTE,meru,meru,1
KIRIINYA,meru,meru,1
KINOTI,meru,meru,1
KATHURE,meru,meru,1
KIMATHI,meru,meru,1
KIBOBORI,meru,meru,1
KATHAMBI,meru,meru,1
KALULU,luhya,meru,0
MUGAMBI,meru,meru,1
KABUKO,meru,meru,1
KAGWIRIA,kikuyu,meru,0
GACHIHI,kikuyu,meru,0
KAIGONGI,meru,meru,1
MUTHOMI,kikuyu,meru,0
MUTWIRI,meru,meru,1
KATHURE,meru,meru,1
GABUKU,luhya,mijikenda,0
OMAR,mijikenda,mijikenda,1
KITSAO,mijikenda,mijikenda,1
JILO,mijikenda,mijikenda,1
MOHAMED,somali,mijikenda,0
HASSAN,muslim,mijikenda,0
HASSAN,muslim,mijikenda,0
CHOME,luhya,mijikenda,0
TUNJE,kalenjin,mijikenda,0
BALISHA,luhya,mijikenda,0
HAMANI,swahili,mijikenda,0
MBURA,kisii,mijikenda,0
MUHAMED,muslim,mijikenda,0
SAID,mijikenda,mijikenda,1
BEZENGA,mijikenda,mijikenda,1
KARIS,mijikenda,mijikenda,1
KAFANI,mijikenda,mijikenda,1
KARISA,mijikenda,mijikenda,1
JEFWA,mijikenda,mijikenda,1
BANDA,mijikenda,mijikenda,1
JUMA,mijikenda,mijikenda,1
ZAWADI,swahili,mijikenda,0
ALI,luhya,mijikenda,0
IDD,mijikenda,mijikenda,1
KAZUNGU,mijikenda,mijikenda,1
BAYA,luo,mijikenda,0
OWDO,mijikenda,mijikenda,1
HABILLA,luo,mijikenda,0
NDORO,mijikenda,mijikenda,1
HAMISI,mijikenda,mijikenda,1
MWAMBARU,mijikenda,mijikenda,1
CHAI,mijikenda,mijikenda,1
KENGA,mijikenda,mijikenda,1
OMAR,mijikenda,mijikenda,1
SAIDI,muslim,mijikenda,0
GAMBO,luhya,mijikenda,0
NYWAA,mijikenda,mijikenda,1
KUSEMA,mijikenda,mijikenda,1
RONYA,mijikenda,mijikenda,1
HAMISI,mijikenda,mijikenda,1
MURIMA,mijikenda,mijikenda,1
MUREWE,mijikenda,mijikenda,1
DUNCAN,mijikenda,mijikenda,1
MWABILA,mijikenda,mijikenda,1
JUMA,mijikenda,mijikenda,1
MARAHAMA,mijikenda,mijikenda,1
MWANGIRI,mijikenda,mijikenda,1
KATANA,mijikenda,mijikenda,1
JACKSON,mijikenda,mijikenda,1
BANDA,mijikenda,mijikenda,1
ATIENO,luo,mijikenda,0
MAGONGO,mijikenda,mijikenda,1
MASHA,mijikenda,mijikenda,1
MWINYI,mijikenda,mijikenda,1
KAHINDI,mijikenda,mijikenda,1
WELUNGA,mijikenda,mijikenda,1
SAFARI,swahili,mijikenda,0
KENGA,mijikenda,mijikenda,1
MURABU,mijikenda,mijikenda,1
ABDALLA,muslim,mijikenda,0
MWAJUMA,mijikenda,mijikenda,1
KAHINGU,kikuyu,mijikenda,0
LELERUK,samburu,samburu,1
ALI,luhya,samburu,0
WANJIKU,kikuyu,samburu,0
KANYI,kikuyu,samburu,0
WANGUI,kikuyu,samburu,0
MOHAMMED,somali,somali,1
SAID,mijikenda,somali,0
MOHAMED,somali,somali,1
ABUD,somali,somali,1
MOLU,luo,somali,0
DUBA,luhya,somali,0
AIDEED,somali,somali,1
ABDULL,muslim,swahili,0
JUMA,mijikenda,swahili,0
ALI,luhya,swahili,0
ZIGHE,taita,taita,1
CHANYA,taita,taita,1
MWANDONYI,taita,taita,1
MGHOI,taita,taita,1
KITANDO,taita,taita,1
MADEDA,taita,taita,1
MUNGA,kikuyu,taita,0
MWANDAWIRO,taita,taita,1
MADEDA,taita,taita,1
MNDUNGI,kikuyu,taita,0
MAKONGO,taita,taita,1
MWACHAKA,taita,taita,1
MWAKANDAWA,taita,taita,1
WAKESHO,taita,taita,1
NGUMBI,kamba,taita,0
JOHN,kalenjin,teso,0
NANJALA,luhya,teso,0
IPEPA,teso,teso,1
AYONGA,luhya,teso,0
ABDALLAH,muslim,turkana,0
SALIM,luhya,turkana,0
LOKOEN,turkana,turkana,1
NYASITA,turkana,turkana,1
LOBION,turkana,turkana,1
LOKOEN,turkana,turkana,1
EYANAE,turkana,turkana,1
NYASITA,turkana,turkana,1
LAWI,turkana,turkana,1
ESOKON,turkana,turkana,1
EYANE,turkana,turkana,1
EPUWO,turkana,turkana,1
INGOLAN,turkana,turkana,1
NAPATIO,turkana,turkana,1
ECHWA,luhya,turkana,0
AKORI,turkana,turkana,1
LODHIO,luo,turkana,0
LOWAMOR,turkana,turkana,1
EKUOT,turkana,turkana,1
LONYARANG,turkana,turkana,1
AKAMWE,turkana,turkana,1
